Time,Temperature,VerticalWind,Icing,Altitude,Latitude,Longitude,DewPoint,MixingRatio
05-Jun-2021 20:32:51,-5.56436109542847,NaN,1.31404590606689,NaN,35.0970497131348,-96.7871780395508,-7.68130970001221,3.91568422317505
05-Jun-2021 20:32:52,-5.43574190139771,NaN,1.40247201919556,NaN,35.095832824707,-96.7861633300781,-7.22523403167725,4.05697774887085
05-Jun-2021 20:32:53,-5.34525108337402,NaN,1.54647135734558,NaN,35.0945320129395,-96.7851409912109,-6.60847806930542,4.25585603713989
05-Jun-2021 20:32:54,-4.98478746414185,NaN,1.63497364521027,NaN,35.0933113098145,-96.7841720581055,-5.99705696105957,4.45598125457764
05-Jun-2021 20:32:55,-5.03250312805176,NaN,1.59613943099976,NaN,35.0919952392578,-96.7831573486328,-5.45730447769165,4.64776563644409
05-Jun-2021 20:32:56,-4.98152112960815,NaN,1.73739218711853,NaN,35.0907669067383,-96.7821731567383,-5.06620645523071,4.78824090957642
05-Jun-2021 20:32:57,-5.19081354141235,NaN,1.71776914596558,NaN,35.0894470214844,-96.7811813354492,-4.38042402267456,5.04311037063599
05-Jun-2021 20:32:58,-5.4129490852356,NaN,1.75527584552765,NaN,35.0881996154785,-96.7802276611328,-3.84285044670105,5.25556898117065
05-Jun-2021 20:32:59,-5.38167715072632,NaN,1.81478595733643,NaN,35.0868873596191,-96.7792358398438,-3.27100467681885,5.49217557907104
05-Jun-2021 20:33:00,-5.92523717880249,NaN,1.77801179885864,NaN,35.0856513977051,-96.7782974243164,-2.76821804046631,5.70511960983276
05-Jun-2021 20:33:01,-5.81052207946777,3.132004737854,1.828946352005,5082.4033203125,35.0843276977539,-96.7772903442383,-2.14552783966064,5.98293685913086
05-Jun-2021 20:33:02,-5.51996994018555,3.3018958568573,2.06994724273682,5085.6328125,35.0830764770508,-96.7763671875,-1.59992158412933,6.23346614837646
05-Jun-2021 20:33:03,-5.20574903488159,4.97386121749878,2.21149015426636,5091.2998046875,35.0817642211914,-96.775390625,-1.28623688220978,6.38729906082153
05-Jun-2021 20:33:04,-5.17619943618774,3.79511833190918,2.05891513824463,5096.06982421875,35.0805015563965,-96.7744369506836,-0.918928921222687,6.57408380508423
05-Jun-2021 20:33:05,-4.40666437149048,3.94128894805908,2.16643023490906,5099.2109375,35.0791931152344,-96.7734527587891,-0.636214971542358,6.70850229263306
05-Jun-2021 20:33:06,-4.22279453277588,5.35940933227539,2.34041357040405,5100.951171875,35.0779266357422,-96.7725067138672,-0.738979041576385,6.66668081283569
05-Jun-2021 20:33:07,-4.34163045883179,3.53461217880249,2.31255054473877,5100.92626953125,35.0766487121582,-96.7714996337891,-0.722009539604187,6.67341995239258
05-Jun-2021 20:33:08,-5.16836738586426,3.4511456489563,2.47953009605408,5098.08740234375,35.0753898620605,-96.7705459594727,-0.61986631155014,6.71918678283691
05-Jun-2021 20:33:09,-5.50403308868408,-0.577792882919312,2.43253231048584,5093.818359375,35.0740737915039,-96.7695236206055,-0.387264460325241,6.83372688293457
05-Jun-2021 20:33:10,-5.26488065719604,0.428290367126465,2.59456777572632,5087.74853515625,35.0728149414062,-96.7685699462891,-0.436521708965302,6.79729557037354
05-Jun-2021 20:33:11,-5.12171936035156,-0.587251245975494,2.76350045204163,5081.37744140625,35.0715293884277,-96.7675476074219,-0.721594214439392,6.65439033508301
05-Jun-2021 20:33:12,-5.30972146987915,0.136993661522865,2.87495231628418,5074.236328125,35.0702819824219,-96.7665786743164,-0.879854202270508,6.5676212310791
05-Jun-2021 20:33:13,-5.17457389831543,0.0776242613792419,2.68113231658936,5067.63916015625,35.0689544677734,-96.7655563354492,-0.743273735046387,6.62920141220093
05-Jun-2021 20:33:14,-5.09092473983765,-2.67014956474304,2.85258269309998,5061.83984375,35.0677070617676,-96.7645645141602,-0.806134462356567,6.59387302398682
05-Jun-2021 20:33:15,-5.03481197357178,-0.957856893539429,3.04588389396667,5056.4130859375,35.06640625,-96.7635116577148,-0.705449640750885,6.63757181167603
05-Jun-2021 20:33:16,-5.22264051437378,-2.85223889350891,3.21036076545715,5051.83203125,35.0651664733887,-96.7624588012695,-1.05503845214844,6.46601486206055
05-Jun-2021 20:33:17,-5.52737474441528,-0.435928910970688,3.24434280395508,5047.5517578125,35.063907623291,-96.7613677978516,-1.67440640926361,6.16975402832031
05-Jun-2021 20:33:18,-5.46243953704834,-0.40360626578331,3.17737102508545,5044.81396484375,35.0627136230469,-96.7603073120117,-2.41910934448242,5.83506011962891
