start,end,duration,min_altitude,max_altitude
01-Jun-2021 18:19:50,01-Jun-2021 18:24:53,00:05:03,1683.52368164062,1899.08081054688
01-Jun-2021 19:20:03,01-Jun-2021 19:24:19,00:04:16,1837.4296875,1898.98291015625
