Edge,Core,HeightAboveCB,Temperature,Core_Dref,Edge_PDref,EdgeP_CoreP_ratio
1,1,542.583923339844,6.82627141475677,12.2200533448814,0.87,1.3
2,1,542.583923339844,6.82627141475677,12.2200533448814,0.72,2.8
3,2,1371.91667829241,1.71828089441572,17.6395515322916,0.7,3
4,3,1526.40146484375,0.55640355348587,18.1261380907637,0.89,1.1
5,4,2135.7529296875,-2.92799019813538,21.1780841846499,0.95,0.5
6,5,2475.73063151042,-5.88446235656738,22.2630059558602,0.99,0.1
7,6,992.715270996094,4.09743589162827,15.209703257873,0.79,2.1
8,6,992.715270996094,4.09743589162827,15.209703257873,0.89,1.1
