Edge,Core,HeightAboveCB,Temperature,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest,Edge90_Core90_ratio
1,1,542.583923339844,6.82627141475677,15,15.851785075786,24,16,15.8377501719542,23,1.06666666666667
2,1,542.583923339844,6.82627141475677,15,15.851785075786,24,17,15.9306987676323,31,1.13333333333333
3,2,1371.91667829241,1.71828089441572,21,22.2065965720831,34,22,22.0850520524155,39,1.04761904761905
4,3,1526.40146484375,0.55640355348587,22,23.2547428247161,32,21,23.1195179979549,29,0.954545454545455
5,4,2135.7529296875,-2.92799019813538,25,26.4973457712596,35,25,27.0340613594452,32,1
6,5,2475.73063151042,-5.88446235656738,26,27.429007974184,34,23,26.6749626966059,27,0.884615384615385
7,6,992.715270996094,4.09743589162827,18,18.9255883332128,27,19,19.0661772937043,27,1.05555555555556
8,6,992.715270996094,4.09743589162827,18,18.9255883332128,27,18,18.8770512166583,26,1
