Edge,Core,HeightAboveCB,Temperature,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest
1,1,542.583923339844,6.82627141475677,16,16.9270403519338,24,17,16.884171079429,23
2,1,542.583923339844,6.82627141475677,16,16.9270403519338,24,18,16.8557965027234,31
3,2,1371.91667829241,1.71828089441572,22,23.4065306489642,34,24,23.269054640145,39
4,3,1526.40146484375,0.55640355348587,23,24.4043638652165,32,23,24.2672286991901,29
5,4,2135.7529296875,-2.92799019813538,27,28.6303088353947,35,27,28.6102807747253,32
6,5,2475.73063151042,-5.88446235656738,27,28.3746057814431,34,24,27,27
7,6,992.715270996094,4.09743589162827,19,20.1364283601552,27,21,20.0542965601628,27
8,6,992.715270996094,4.09743589162827,19,20.1364283601552,27,19,19.938631563506,26
