Time,Temperature,VerticalWind,Icing,Altitude,Latitude,Longitude,DewPoint
21-Jun-2021 01:58:33,1.99936640262604,-1.59923362731934,1.36617076396942,4530.8310546875,37.5343971252441,-97.1862030029297,-7.09551620483398
21-Jun-2021 01:58:34,1.82566452026367,2.27501726150513,1.35115587711334,4529.0439453125,37.5352249145508,-97.1850280761719,-6.85486078262329
21-Jun-2021 01:58:35,1.4095915555954,2.33245015144348,1.447150349617,4529.9306640625,37.5360641479492,-97.1838607788086,-6.22767448425293
21-Jun-2021 01:58:36,1.43451678752899,4.5946249961853,1.54357206821442,4533.208984375,37.5368881225586,-97.1826934814453,-5.65583419799805
21-Jun-2021 01:58:37,1.1369491815567,8.84243869781494,1.51918828487396,4539.84716796875,37.537712097168,-97.181526184082,-5.27448415756226
21-Jun-2021 01:58:38,1.26552748680115,10.1277017593384,1.61802089214325,4549.28076171875,37.5385665893555,-97.1803588867188,-4.34422826766968
21-Jun-2021 01:58:39,1.61495566368103,9.50695133209229,1.60466921329498,4560.35791015625,37.5393905639648,-97.1791915893555,-4.14822053909302
21-Jun-2021 01:58:40,1.87135469913483,9.18265628814697,1.6023041009903,4571.8125,37.5402565002441,-97.1780090332031,-3.24441599845886
21-Jun-2021 01:58:41,2.08361220359802,8.17712593078613,1.61100172996521,4582.74072265625,37.5411071777344,-97.1768264770508,-2.66644382476807
21-Jun-2021 01:58:42,2.15279245376587,7.28195524215698,1.60280764102936,4592.0244140625,37.5419692993164,-97.1756591796875,-2.49272513389587
21-Jun-2021 01:58:43,2.35893321037292,5.41169595718384,1.60662245750427,4599.05517578125,37.5428237915039,-97.1744918823242,-1.94012224674225
21-Jun-2021 01:58:44,2.04546308517456,1.67703318595886,1.59903860092163,4603.1142578125,37.5436859130859,-97.1733169555664,-1.06300342082977
21-Jun-2021 01:58:45,1.56112515926361,-1.16776072978973,1.55327689647675,4603.216796875,37.5445671081543,-97.1721496582031,-0.809687972068787
21-Jun-2021 01:58:46,1.39665985107422,-1.26590836048126,1.54259550571442,4599.716796875,37.5454406738281,-97.1709594726562,-0.387290209531784
