StartTime,EndTime,SmallConc,LargeConc
2021-06-05 06:48:59,2021-06-05 06:49:02,612.856080532074,139.236193035729
2021-06-05 06:52:31,2021-06-05 06:52:39,905.102215449015,281.402727407507
2021-06-05 06:53:36,2021-06-05 06:53:39,617.071989148855,243.183774007019
2021-06-05 06:55:13,2021-06-05 06:55:15,399.972904920578,310.845209471881
