Time,Altitude,Latitude,Longitude,VerticalWind,Temperature,StaticPres,DewPoint,MixingRatio,absHumidity,vapPres,LWC_cdp,LWC_king,LWC_2dc,EffRadius_cdp,EffRadius_2dc,TotalConc_2dc_L,TotalConc_cdp_cm3,Icing,SatVapPres,SatMixingRatio,HeightAbvCloudBase,DryAirDensity,LWC_over_Density,SpecificHeatCapacity,MoistStaticEnergy
05-Jun-2021 18:52:29,1560.86193847656,33.8938026428223,-97.389778137207,1.00274503231049,13.8076095581055,844.3818359375,13.9034585952759,11.9310340881348,11.9998559951782,15.8918676376343,0.00485626934096217,0,0,5.95564889907837,0,0,11.6656885147095,1.23135733604431,15.7574461972415,11.8281958098729,640.861938476562,1.02527233686533,0,1027.22731637397,59062.3184294747
05-Jun-2021 18:52:30,1565.51513671875,33.8943748474121,-97.3884506225586,2.23321843147278,13.7650861740112,843.862365722656,14.2576742172241,12.2220306396484,12.2811517715454,16.2619876861572,0.11393691599369,0.102803401648998,0,5.33783006668091,0,0,394.074951171875,1.24985122680664,15.7139909868799,11.8023565486774,645.51513671875,1.02479344247428,0.100316217286469,1027.36286443405,59001.4804289996
05-Jun-2021 18:52:31,1571.50817871094,33.8949775695801,-97.3871688842773,3.58095741271973,14.0374393463135,843.689636230469,14.505651473999,12.4249200820923,12.4666414260864,16.5232734680176,1.03056240081787,1.02405273914337,0,7.8542537689209,0,0,944.563659667969,1.28406190872192,15.9941477991636,12.0193477796217,651.508178710938,1.02361201811311,1.00043055476339,1029.39599656858,59911.2528133705
05-Jun-2021 18:52:32,1579.00817871094,33.8956146240234,-97.3858871459961,4.89736032485962,14.1357145309448,842.762634277344,14.4950857162476,12.4301853179932,12.4538564682007,16.5119762420654,1.2253315448761,1.2262350320816,8.49076532176696e-05,7.83391618728638,37.4999961853027,0.384383231401443,1151.58740234375,1.2893568277359,16.0963126052629,12.1111822001199,659.008178710938,1.02213755267729,1.1996771167146,1029.92576395664,60323.0834212234
05-Jun-2021 18:52:33,1587.71875,33.8962745666504,-97.384635925293,3.89165329933167,14.3341255187988,840.969116210938,15.2251529693604,13.0717029571533,13.0465116500854,17.3096961975098,1.39033770561218,1.34598731994629,8.46059847390279e-05,7.9247465133667,37.5000038146973,0.383017539978027,1292.46496582031,1.29381251335144,16.3043279611344,12.2974718168198,667.71875,1.01925835888891,1.32055558652817,1030.48480987409,61086.7193738171
05-Jun-2021 18:52:34,1596.59265136719,33.8969879150391,-97.3834075927734,4.41845560073853,14.3783502578735,840.27001953125,15.1587038040161,13.0256681442261,12.9887027740479,17.2356472015381,1.17271041870117,1.2379504442215,0,7.57580995559692,0,0,1230.47338867188,1.29593348503113,16.351014505099,12.3438480726012,676.592651367188,1.01825440874631,1.21575750970298,1030.37848215979,61333.7147276437
05-Jun-2021 18:52:35,1605.17663574219,33.8976631164551,-97.3821640014648,3.89066767692566,14.3159532546997,838.854064941406,15.369255065918,13.2295188903809,13.1683759689331,17.4702777862549,1.2793915271759,1.24929332733154,0,7.93461513519287,0,0,1141.43481445312,1.29977869987488,16.285178147482,12.3143252441926,685.176635742188,1.01675917795413,1.22870130353316,1030.34830831686,61279.2766839222
05-Jun-2021 18:52:36,1612.498046875,33.8983612060547,-97.3809356689453,4.21091842651367,14.285665512085,838.549377441406,15.4196815490723,13.277904510498,13.2121229171753,17.5264701843262,1.14768695831299,1.26036977767944,8.42248482513241e-05,7.48576641082764,37.5,0.381292104721069,1228.32299804688,1.30109107494354,16.253305096693,12.2943014203102,692.498046875,1.01649697127365,1.23991493658876,1030.33227376956,61269.5109409485
05-Jun-2021 18:52:37,1618.87854003906,33.8990821838379,-97.3797073364258,5.60401439666748,14.1996803283691,838.158386230469,15.3165950775146,13.1953144073486,13.1294536590576,17.4115943908691,1.45800995826721,1.41416490077972,0,8.08374404907227,0,0,1235.14904785156,1.30118262767792,16.1631182051371,12.2305564455943,698.878540039062,1.01632703827589,1.39144669729414,1030.49204572006,61086.2889929662
05-Jun-2021 18:52:38,1624.90454101562,33.8997993469238,-97.3784561157227,5.0327615737915,14.1717882156372,837.412902832031,15.4646310806274,13.3351249694824,13.2551345825195,17.5765590667725,1.5538763999939,1.46320962905884,8.26535833766684e-05,8.44532871246338,37.5,0.374178886413574,1169.00415039062,1.29771876335144,16.1339578669233,12.2191392519537,704.904541015625,1.01552165972748,1.44084531830813,1030.56117191788,61089.0264427684
05-Jun-2021 18:52:39,1630.64904785156,33.9005165100098,-97.3772277832031,3.97024178504944,14.1778364181519,836.395385742188,15.264910697937,13.179051399231,13.0870189666748,17.3540000915527,1.563356757164,1.39689517021179,0,8.20260334014893,0,0,1285.54406738281,1.29691004753113,16.1402771413057,12.2391830012692,710.649047851562,1.01426637706316,1.37724684737804,1030.48190232454,61200.5611981428
05-Jun-2021 18:52:40,1635.37219238281,33.9012031555176,-97.3759841918945,0.8012615442276,13.9821672439575,835.63671875,15.1702308654785,13.1093807220459,13.0163173675537,17.2484931945801,0.92734956741333,0.851637244224548,0,8.48670387268066,0,0,699.360961914062,1.29605555534363,15.9369391673173,12.0931790016072,715.372192382812,1.01403692441794,0.839848356324296,1029.23810979144,60662.6675533298
05-Jun-2021 18:52:41,1638.53869628906,33.9018745422363,-97.3747177124023,0.527271807193756,13.7538480758667,835.585754394531,14.9356460571289,12.9089317321777,12.8307600021362,16.9890823364258,0.67304652929306,0.69145280122757,0,8.36769771575928,0,0,537.590393066406,1.29755091667175,15.7025242601543,11.912635520323,718.538696289062,1.01478200488055,0.681380629437708,1028.62110939256,59998.6791261755
