Edge,Core,HeightAboveCB,Temperature,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest
1,1,3936.32269287109,-4.98148715496063,45,47.1709657390718,53,43,48.0006537119475,52
2,1,3936.32269287109,-4.98148715496063,45,47.1709657390718,53,38,NaN,38
3,2,3920.985546875,-5.34405250549316,53,57.4871020569927,66,54,55.5405109632892,57
