Time,Temperature,VerticalWind,Icing,Altitude,Latitude,Longitude
16-Jun-2022 18:10:32,6.23533170134777,0.593088268434587,39996,3519.31825669801,29.6854143029046,29.6854143029046
16-Jun-2022 18:10:33,6.18425261292225,0.41644530409763,39996,3518.43771407783,29.6855878789171,29.6855878789171
16-Jun-2022 18:10:34,6.17597366849054,1.39278215715731,39989,3518.75996721164,29.6857364551174,29.6857364551174
16-Jun-2022 18:10:35,6.78292803409443,-1.10607246354464,39986,3521.0430322891,29.6858668349016,29.6858668349016
16-Jun-2022 18:10:36,6.93775812673027,3.72865683059543,39986,3524.32116981137,29.6859945903449,29.6859945903449
16-Jun-2022 18:10:37,7.29201333273829,6.64077478053373,39986,3528.53343435371,29.6861278308329,29.6861278308329
16-Jun-2022 18:10:38,7.05448970604533,6.74691975499309,39989,3532.15123007043,29.686260313576,29.686260313576
16-Jun-2022 18:10:39,6.84538602522491,2.9032834035182,39983,3535.46057262781,29.6863785280445,29.6863785280445
16-Jun-2022 18:10:40,7.28188365496101,-0.29057070960525,39984,3536.61561770296,29.6864793608494,29.6864793608494
16-Jun-2022 18:10:41,6.30450601362611,-3.25803311063707,39992,3534.37848584231,29.6865643301997,29.6865643301997
16-Jun-2022 18:10:42,5.46188023399918,-2.38387622621728,39994,3529.40006723393,29.6866336603989,29.6866336603989
