StartTime,EndTime,Duration_s,Average_CN,AverageAlt,AverageTemp,MaxUpdraft,MeanUpdraft,AbsoluteHumidity,MixingRatio,VaporPressure,SaturationPessure,SaturationMixingRatio,StaticPres_hPa,SpecificHeatCapacity,MoistStaticEnergy
21-Jun-2021 01:22:42,21-Jun-2021 01:22:50,8,3151.16468641493,2281.07717556424,19.8184225294325,4.08551645278931,2.03728396362729,9.64047643873427,10.6683372921414,13.034671359592,23.368090684422,19.1381524145824,773.00139702691,1025.1163738717,69352.2573274041
21-Jun-2021 01:22:50,21-Jun-2021 01:23:00,10,2851.92986505682,2275.01038707386,19.8524107499556,1.67677247524261,1.0058158419349,9.52712414481423,10.530292077498,12.8829129825939,23.2774463408263,19.1575412606217,773.84716796875,1024.86513158105,68977.4058346006
21-Jun-2021 01:23:00,21-Jun-2021 01:23:10,10,2912.19788707386,2279.47294477983,19.5468682375821,2.03581666946411,1.74147216840224,9.60925344987349,10.618745023554,12.9804171648892,22.8931134694843,18.8000887701163,773.317521528764,1025.02611594287,68932.3665911668
21-Jun-2021 01:23:10,21-Jun-2021 01:23:20,10,3061.90462979403,2281.50497159091,19.4293648112904,3.0029354095459,2.49596407196739,9.60870612751354,10.6153670224276,12.974475773898,22.5929030036577,18.6618916827124,773.204634232955,1025.01996798082,68823.268541439
21-Jun-2021 01:23:20,21-Jun-2021 01:23:30,10,3027.11021839489,2281.32077858665,19.5251150998202,2.81881070137024,2.42940786751834,9.52123026414351,10.521500674161,12.8605487129905,22.8629100431501,18.778544776533,773.139282226562,1024.84913122697,68681.5140633834
21-Jun-2021 01:23:30,21-Jun-2021 01:23:40,10,3117.51999733665,2277.27725497159,19.5202289928089,1.98183155059814,1.66416402296586,9.52319760756059,10.5160662044178,12.8629987023093,22.8605067546609,18.7592459173033,773.678488991477,1024.83924049204,68623.0953311916
21-Jun-2021 01:23:40,21-Jun-2021 01:23:50,10,3110.24933416193,2278.44262695312,19.2929973602295,1.45124208927155,1.24796360731125,9.59496922926469,10.589803869074,12.9498692425815,22.4616377525478,18.4906700461165,773.570162686435,1024.97344304171,68588.6471516039
21-Jun-2021 01:23:50,21-Jun-2021 01:24:00,10,3083.40094549006,2281.80908203125,19.1091081445867,2.23976826667786,1.96007433804599,9.74121362512762,10.7508924657648,13.1389979449185,22.1771404823324,18.2802345834404,773.304737437855,1025.26662428769,68841.641861333
21-Jun-2021 01:24:00,21-Jun-2021 01:24:10,10,3080.78020685369,2283.1669699929,19.0018608786843,3.26761674880981,2.84947967529297,9.69784424521706,10.7009215788408,13.0757115970958,22.0630144207962,18.1595581613576,773.112393465909,1025.17567727349,68618.286770373
21-Jun-2021 01:24:10,21-Jun-2021 01:24:20,10,3030.97973632812,2279.61414683949,19.127029765736,3.4783022403717,2.40799417278983,9.69975090026855,10.6982773000544,13.083909815008,22.4021086958674,18.2898844693049,773.782903497869,1025.1708646861,68705.0838102793
21-Jun-2021 01:24:20,21-Jun-2021 01:24:30,10,2795.69551225142,2279.5937056108,19.0895522724498,3.76831769943237,2.38767358389768,10.0111313733188,11.048960165544,13.5021531365134,22.2462101256822,18.250191119629,773.604852849787,1025.80910750129,69555.7042682123
21-Jun-2021 01:24:30,21-Jun-2021 01:24:43,13,2939.92832728795,2282.19041224888,19.0166967936925,3.49702334403992,2.34511481864112,10.0063222476414,11.0430966785976,13.4922562326704,22.2264529339934,18.1694383691826,773.442199707031,1025.79843595505,69491.5486612127
21-Jun-2021 01:24:49,21-Jun-2021 01:24:53,4,3175.76982421875,2287.09682617187,19.0296588897705,3.29707264900208,2.50144653320312,9.71163501739502,10.7191968917847,13.0955453872681,22.207455138981,18.1952126503546,772.987158203125,1025.20893834305,68731.6367102498
