Time,Temperature,VerticalWind,Icing,Altitude,Latitude,Longitude
16-Jun-2022 18:09:13,5.52962330661137,-1.68803443182828,39992,3504.71988425258,29.6661879289957,29.6661879289957
16-Jun-2022 18:09:14,5.34404808381566,-3.0235559303206,39987,3503.0929423685,29.665925211741,29.665925211741
16-Jun-2022 18:09:15,5.24133858893003,-3.19086087819123,39985,3499.41367335266,29.6656694808244,29.6656694808244
16-Jun-2022 18:09:16,5.17681030600869,-2.10302286891409,39990,3494.91064457917,29.6654158080082,29.6654158080082
16-Jun-2022 18:09:17,5.4390188101421,3.4902440798291,39989,3491.74184122836,29.6651639404442,29.6651639404442
16-Jun-2022 18:09:18,5.61575375078411,0.339230128428348,39986,3491.28973733532,29.6649162717751,29.6649162717751
16-Jun-2022 18:09:19,5.52491827644525,1.30315497343743,39989,3491.12122896091,29.6646718057911,29.6646718057911
16-Jun-2022 18:09:20,5.29202727309956,2.3770249306383,39986,3491.11148520199,29.6644247842622,29.6644247842622
16-Jun-2022 18:09:21,5.78224598842195,2.78932336319169,39984,3491.35304149585,29.6641709244092,29.6641709244092
16-Jun-2022 18:09:22,6.09753422573488,-0.926640630126992,39984,3489.53574427479,29.6639131560618,29.6639131560618
16-Jun-2022 18:09:23,5.81447911858072,4.16251958392157,39989,3486.97566730346,29.6636561481423,29.6636561481423
16-Jun-2022 18:09:24,6.21581055609499,3.58733345324773,39986,3487.75881531087,29.6633975401534,29.6633975401534
16-Jun-2022 18:09:25,6.02504199570922,1.02373590135969,39986,3490.3560504013,29.6631336129462,29.6631336129462
16-Jun-2022 18:09:26,6.23356982646095,6.24785841342051,39987,3494.97990170869,29.6628658685202,29.6628658685202
16-Jun-2022 18:09:27,6.36862462176589,8.16442145440309,39986,3502.38715054245,29.6625974861727,29.6625974861727
16-Jun-2022 18:09:28,6.31540451861866,3.6682153440853,39985,3510.83743120214,29.6623314472241,29.6623314472241
16-Jun-2022 18:09:29,6.4267765010066,3.34499181733689,39984,3517.06911733147,29.6620638343917,29.6620638343917
16-Jun-2022 18:09:30,6.10909926128386,6.16370697783378,39986,3522.24404875566,29.6617916199927,29.6617916199927
16-Jun-2022 18:09:31,5.54677293497753,4.26491892400044,39987,3527.29098817905,29.6615157249473,29.6615157249473
16-Jun-2022 18:09:32,5.80117927858214,8.0217420560049,39986,3533.61556896706,29.6612396156389,29.6612396156389
16-Jun-2022 18:09:33,5.72553384676826,-2.64520105107602,39988,3539.83696718205,29.6609670995162,29.6609670995162
16-Jun-2022 18:09:34,5.20511694888665,-1.97717185036521,39994,3542.78137879737,29.6607027515356,29.6607027515356
16-Jun-2022 18:09:35,4.94552607966091,-0.590139126624412,39995,3544.54948429753,29.660446261755,29.660446261755
