StartTime,EndTime,Duration_s,StartTime_datenum,EndTime_datenum,LargeConc_cc,SmallConc_cc,MeanDiameter_um,AverageLWC_g_m3,CloudTemp
20-Jun-2021 22:03:03,20-Jun-2021 22:03:15,13,738327.918784722,738327.918923611,88.4738895698236,1047.32596892577,7.74284355457012,0.641269181783383,WarmClouds
20-Jun-2021 22:03:22,20-Jun-2021 22:03:26,5,738327.91900463,738327.919050926,95.2278828322887,779.009102249146,8.37519302368164,0.597616720199585,WarmClouds
20-Jun-2021 22:04:45,20-Jun-2021 22:04:52,8,738327.919965278,738327.920046296,96.6765377640259,332.883299469948,9.55922269821167,0.449343445710838,WarmClouds
20-Jun-2021 22:10:49,20-Jun-2021 22:10:51,3,738327.924178241,738327.924201389,151.727507402499,713.039867401123,8.61725314458211,0.780046502749125,WarmClouds
20-Jun-2021 22:52:00,20-Jun-2021 22:52:25,26,738327.952777778,738327.95306713,340.39495816483,1044.57113097264,9.9971657532912,1.7298625432528,WarmClouds
20-Jun-2021 23:59:55,21-Jun-2021 00:00:03,9,738327.99994213,738328.000034722,193.808514515973,952.477989435196,8.77655283610026,1.0094449205531,WarmClouds
21-Jun-2021 00:00:17,21-Jun-2021 00:00:24,8,738328.000196759,738328.000277778,233.703484615777,663.151850253344,10.5050134658813,1.16781571134925,WarmClouds
21-Jun-2021 00:06:47,21-Jun-2021 00:06:53,7,738328.004710648,738328.004780093,172.338333221951,602.043229034969,9.92874922071185,0.841121996087687,WarmClouds
21-Jun-2021 00:07:31,21-Jun-2021 00:07:33,3,738328.005219907,738328.005243056,149.23179838496,842.218430836995,8.2938125928243,0.798436224460602,WarmClouds
21-Jun-2021 00:08:53,21-Jun-2021 00:09:01,9,738328.006168981,738328.006261574,110.062228797211,369.990347464879,10.1978940963745,0.534202796717485,WarmClouds
21-Jun-2021 01:47:25,21-Jun-2021 01:47:29,5,738328.074594907,738328.074641204,99.0635862901807,519.898587608337,8.70500774383545,0.514477008581162,ColdClouds
21-Jun-2021 01:49:37,21-Jun-2021 01:49:41,5,738328.076122685,738328.076168981,52.4041699778289,508.557234573364,7.0482497215271,0.288390126824379,ColdClouds
21-Jun-2021 01:58:35,21-Jun-2021 01:58:44,10,738328.082349537,738328.082453704,258.194103919901,958.238140010834,9.47181310653687,1.32983462512493,WarmClouds
21-Jun-2021 01:59:13,21-Jun-2021 01:59:17,5,738328.082789352,738328.082835648,224.635072565824,1072.87621631622,9.16838531494141,1.17497578859329,WarmClouds
21-Jun-2021 03:53:13,21-Jun-2021 03:53:24,12,738328.161956019,738328.162083333,89.0026614288799,513.537803173065,8.37293879191081,0.448177665472031,ColdClouds
21-Jun-2021 03:54:22,21-Jun-2021 03:54:27,6,738328.16275463,738328.1628125,55.0316900365675,403.371172944705,8.55844314893087,0.319869093596935,ColdClouds
