StartTime,EndTime,Duration_s,StartTime_datenum,EndTime_datenum,LargeConc_cc,SmallConc_cc,MeanDiameter_um,AverageLWC_g_m3,CloudTemp
16-Jun-2022 17:38:47,16-Jun-2022 17:38:56,10,738688.735272714,738688.735376881,149.589368200773,179.443948955674,14.8811542807429,0.952680029595614,WarmClouds
16-Jun-2022 17:45:20,16-Jun-2022 17:45:26,7,738688.73982137,738688.73989077,72.5358409641478,68.4984128498352,20.0217254328433,0.691284343484732,WarmClouds
16-Jun-2022 17:55:23,16-Jun-2022 17:55:53,31,738688.746800447,738688.747147669,104.252517706826,72.0936075721987,19.9782248658657,1.00410654720046,WarmClouds
16-Jun-2022 17:57:06,16-Jun-2022 17:57:36,31,738688.747992622,738688.748339799,69.1500814729902,59.7949260096894,20.2921841360751,0.706441152504612,WarmClouds
16-Jun-2022 18:00:29,16-Jun-2022 18:00:52,24,738688.750342159,738688.750608317,51.029541236825,74.1765232233861,18.9739725672931,0.497997136328587,WarmClouds
16-Jun-2022 18:09:15,16-Jun-2022 18:09:33,19,738688.756430121,738688.756638455,73.4855225458466,108.722565510228,20.4946216397524,0.794863585981177,WarmClouds
16-Jun-2022 18:10:34,16-Jun-2022 18:10:40,7,738688.757344519,738688.757413918,104.749590896465,55.8941040782814,19.645554025962,1.02377444725418,WarmClouds
16-Jun-2022 18:16:48,16-Jun-2022 18:16:54,7,738688.761673177,738688.761742622,64.6330101880179,64.1910059930819,18.4225161198344,0.545468128510004,WarmClouds
16-Jun-2022 18:16:56,16-Jun-2022 18:17:00,5,738688.76176577,738688.761812066,97.5587322026046,70.0226693001385,17.9617393493254,0.774121773836944,WarmClouds
16-Jun-2022 18:30:46,16-Jun-2022 18:30:56,11,738688.771372251,738688.771487992,60.1975686121741,307.324835761607,13.2971452182394,0.465303537185006,WarmClouds
16-Jun-2022 18:36:11,16-Jun-2022 18:36:15,5,738688.775133825,738688.775180122,56.0507189161847,120.066870100938,16.7036903733439,0.424768622486993,WarmClouds
16-Jun-2022 18:36:19,16-Jun-2022 18:36:26,8,738688.775226327,738688.775307436,93.2740484611429,38.3120530922327,16.8747308959942,0.665075437633285,WarmClouds
16-Jun-2022 18:47:03,16-Jun-2022 18:47:10,8,738688.782680121,738688.78276105,84.7375656014464,57.341329495262,18.2127072712884,0.686184093096133,ColdClouds
