StartTime,EndTime,Duration_s,LWC_cdp,cdp_LWC_max,LWC_king,king_LWC_max,LWC_2dc,TotalConc_cdp_cm3,TotalConc_2dc_L,EffRad_cdp,EffRad_2dc,AverageAlt,AverageTemp,MaxUpdraft,MeanUpdraft,HeightAboveCB,TempAboveCB,AbsoluteHumidity,CalculatedHumidity_king,MixingRatio,VaporPressure,SaturationPessure,SaturationMixingRatio,StaticPres_hPa,DryAirDensity,ChangeInMixingRatio,LWC_over_density,MoistStaticEnergy
2021-06-01 06:37:20,2021-06-01 06:37:28,8,0.336434020238736,0.485546946525574,0.329539381847199,0.449433892965317,9.26739448914304e-06,589.954524828121,0.0419541796048482,5.41169065899319,4.16666666666667,2406.5875922309,6.94870482550727,2.7427077293396,1.75774376922184,506.587592230903,-5.15129517449273,7.43059333165487,7.09543569237167,7.89584986368815,9.60549110836453,10.0588574837268,8.20051637793559,766.327358669705,0.95328234753765,0.687518260852353,0.345689168270457,51177.3765115042
2021-06-01 06:37:36,2021-06-01 06:37:45,9,0.182964523881674,0.402786940336227,0.186769483890384,0.445680230855942,4.07508829084691e-05,353.999913406372,0.107421416044235,5.64499683380127,14.375,2471.64963378906,6.34583768844604,3.35625219345093,0.873026297986507,571.649633789063,-5.75416231155396,7.3119656085968,7.23820559032849,7.81202774047852,9.43176174163818,9.63939664078107,7.92558595982008,760.405328369141,0.947955658073754,0.412587842736836,0.197023439123619,50512.8366651334
2021-06-01 06:47:01,2021-06-01 06:47:03,2,0.0292991439152199,0.0866444930434227,0.0205854414962232,0.0574261136353016,0,24.2152888178825,0,6.87153228123983,0,3222.24129231771,1.59400463104248,2.34407162666321,-0.665367881457011,1322.24129231771,-10.5059953689575,3.66651638348897,7.40438963272265,4.19712003072103,4.64889430999756,6.97144180126158,6.20752871225342,693.603006998698,0.879632328680893,-1.30546940482982,0.0234023248407586,48727.8803033996
2021-06-01 06:47:11,2021-06-01 06:47:15,4,0.443722835183144,1.0041172504425,0.400780934095383,0.927213847637177,0,269.449450683594,0,8.77190933227539,0,3339.9197265625,0.705941537022591,1.86745011806488,0.290423786640167,1439.9197265625,-11.3940584629774,5.59289121627808,7.02419414012349,6.50683641433716,7.06804990768433,6.87984761833199,5.91651693371937,682.765063476563,0.868696856392355,-1.59648118336387,0.461358794090497,48248.0403774662
2021-06-01 06:48:20,2021-06-01 06:48:22,2,0.269933436900089,0.809799671173096,0.219599545001984,0.658798635005951,0,165.739476344238,0,3.66612307230631,0,3422.18497721354,-0.55415337284406,0.810624063014984,0.27099280556043,1522.18497721354,-12.6541533728441,4.40818357467651,7.20537552921689,5.14267698923747,5.54574044545492,5.91930749075768,5.44449376848619,676.296101888021,0.864441867704457,-2.06850434859705,0.254036220602242,46589.2023416983
2021-06-01 06:48:28,2021-06-01 06:48:29,1,0.871116906404495,1.35229694843292,0.762791454792023,1.17241811752319,0,551.901077270508,0,9.19552803039551,0,3431.44885253906,0.343900948762894,0.946139097213745,0.0777552127838135,1531.44885253906,-11.7560990512371,5.37636423110962,6.66218361942685,6.31938695907593,6.78608250617981,6.3224964480426,5.82837505199868,674.721160888672,0.859596919830578,-1.68462306508456,0.887382722290775,48555.5283275709
2021-06-01 06:53:36,2021-06-01 06:53:39,3,0.550945094202689,1.35967946052551,0.456306457519531,1.13417267799377,0.000879866420291364,211.557476989925,0.0184408351778984,7.88572478294373,56.25,4013.79425048828,-3.4015811085701,0.628609776496887,-4.05792275071144,2113.79425048828,-15.5015811085701,1.48009636998177,6.96866861669934,1.82998099923134,1.84269717335701,4.87301991414044,4.74733378806706,628.195251464844,0.811436688565337,-2.76566432901618,0.562343882091781,47740.7832859678
2021-06-01 06:53:49,2021-06-01 06:53:53,4,1.54802935123444,1.92060363292694,1.3119233250618,1.62671220302582,0,626.877124023438,0,10.6400074005127,0,4110.2296875,-4.35332636833191,2.64218783378601,-0.226783657073975,2210.2296875,-16.4533263683319,3.31451711654663,6.11305174915707,4.15557689666748,4.11201825141907,4.55439561002004,4.48010310724295,619.621118164063,0.803195237768307,-3.03289500984028,1.63338035806462,47047.3225903721
2021-06-01 06:58:22,2021-06-01 06:58:24,2,0.220127363999685,0.660382091999054,0.201753807564576,0.568066775798798,0,77.2783660888672,0,3.67354996999105,0,4395.45930989583,-6.18236939112345,-3.98543357849121,-4.61070680618286,2495.45930989583,-18.2823693911235,1.32353333632151,7.22322126665429,1.70214653015137,1.63066458702087,3.89967967421857,4.04137407121979,597.490519205729,0.779814125988824,-3.47162404586345,0.258720380717325,46880.8332965848
2021-06-01 06:58:28,2021-06-01 06:58:31,3,1.48151354491711,2.30971240997314,1.24528713524342,1.96821475028992,0,560.855304718018,0,10.9615783691406,0,4360.38073730469,-5.71466541290283,2.56404829025269,2.08013460040092,2460.38073730469,-17.8146654129028,1.86709949374199,6.17968793897545,2.39354264736176,2.30432742834091,4.12375792771751,4.1638661848604,601.109954833984,0.783166047771055,-3.34913193222284,1.59006782634103,47320.1811758793
2021-06-01 07:10:07,2021-06-01 07:10:13,6,0.371520633742745,0.635100185871124,0.327714904743646,0.54864639043808,2.74502921716443e-05,435.684934207371,0.0832161903381348,6.85463183266776,6.25,2928.41918945312,3.6152059010097,1.41746723651886,0.0106176691395896,1028.41918945312,-8.4847940989903,4.05098697117397,7.09726016947522,4.50884900774275,5.17432955333165,8.00380861557438,6.9198001644809,718.956290108817,0.905126276658149,-0.593197952602335,0.362065397055552,49690.1739265842
