Edge,Core,HeightAboveCB,Temperature,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest,Edge90_Core90_ratio
1,1,492.588989257812,14.6949329376221,21,22.0598731753629,26,22,22.6614067798012,36,1.04761904761905
2,1,492.588989257812,14.6949329376221,21,22.0598731753629,26,21,22.2887202145333,31,1
3,2,682.992730034722,14.2262837092082,19,20.0510605421175,33,22,20.4481365256124,34,1.15789473684211
4,4,1505.41780598958,9.17342058817546,24,24.9596348612998,28,27,25.843275391286,48,1.125
