Edge,Core,Core_ShadowDensity,Edge_ShadowDensity
1,1,0.018933127085409,0.0131782978827434
2,1,0.018933127085409,0.0111757826649755
3,2,0.035131882480432,0.023470601961237
4,4,0.036657582745209,0.0121237695823322
