Edge,Core,HeightAboveCB,Temperature,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest
1,1,492.588989257812,14.6949329376221,22,23.1542633036665,26,24,23.6180158416652,36
2,1,492.588989257812,14.6949329376221,22,23.1542633036665,26,22,23.2492922046547,31
3,2,682.992730034722,14.2262837092082,20,21.1716241246748,33,23,21.4297807379193,34
4,4,1505.41780598958,9.17342058817546,25,25.7490060774202,28,29,26.8195283967701,48
