Edge,Core,Core_ShadowDensity,Edge_ShadowDensity
1,1,0.00722068426255173,0.00511654919920619
2,1,0.00722068426255173,0.00486804074290428
3,2,0.013196862827333,0.00893095845128108
4,4,0.0120312456233478,0.0052881423258032
