Edge,Core,HeightAboveCB,Temperature,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest
1,1,542.583923339844,6.82627141475677,15,15.5948128182836,25,15,15.5269320291012,25
2,1,542.583923339844,6.82627141475677,15,15.5948128182836,25,15,15.5889413547408,25
3,2,1371.91667829241,1.71828089441572,23,24.9680636968267,37,23,24.7792638209649,33
4,3,1526.40146484375,0.55640355348587,23,25.0270002130516,37,23,24.9568869805081,35
5,4,2135.7529296875,-2.92799019813538,25,26.8092567855438,39,25,26.7078639320921,39
6,5,2475.73063151042,-5.88446235656738,27,29.4190282010632,41,27,29.1808632857888,41
7,6,992.715270996094,4.09743589162827,19,20.7291290775213,29,17,20.7316675613594,29
8,6,992.715270996094,4.09743589162827,19,20.7291290775213,29,17,20.586230460789,29
