Edge,Core,Core_ShadowDensity,Edge_ShadowDensity
2,2,0.0210201974565057,0.0143859403325213
4,4,0.0191647663440205,0.00321404067129697
7,7,0.0259331895947792,0.00330695561757712
8,8,0.0132162042593051,0.000514332541625208
