Edge,Core,Core_ShadowDensity,Edge_ShadowDensity
2,2,0.00744146533291118,0.00538500572778924
4,4,0.00711832365293638,0.0017402824568627
7,7,0.00974257696704538,0.00192417049935703
8,8,0.00596592515014051,0.000319708400395251
