Edge,Core,Core_ShadowDensity,Edge_ShadowDensity
2,1,0.031132508346641,0.00845940011977044
3,1,0.031132508346641,0.0157969321958144
4,2,0.0229225910222186,0.0182603791854547
5,2,0.0229225910222186,0.0156655338805487
6,3,0.0263612293675345,0.0124523599967961
7,4,0.0508304658751542,0.0129510119117494
