Edge,Core,HeightAboveCB,Temperature,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest
2,1,1066.43133544922,12.6994907855988,18,18.8353927625772,29,20,19.0993871569411,31
3,1,1066.43133544922,12.6994907855988,18,18.8353927625772,29,18,19.1415625,50
4,2,641.423400878906,15.6165480613708,15,15.7273104019892,27,16,15.8447903822441,28
5,2,641.423400878906,15.6165480613708,15,15.7273104019892,27,16,15.8517512897095,28
6,3,1939.72253417969,7.19353433450063,22,23.1345811051693,30,23,23.659021794222,44
7,4,1936.89204406738,8.23372119665146,19,20.1217745586238,54,21,20.1736329352608,32
