Edge,Core,HeightAboveCB,Temperature,Core_Dref,Edge_PDref
2,1,1066.43133544922,12.6994907855988,14.4836069733215,0.62
3,1,1066.43133544922,12.6994907855988,14.4836069733215,0.89
4,2,641.423400878906,15.6165480613708,12.0135154900409,0.85
5,2,641.423400878906,15.6165480613708,12.0135154900409,0.82
6,3,1939.72253417969,7.19353433450063,18.034909669796,0.87
7,4,1936.89204406738,8.23372119665146,15.4983659851695,0.5
