Edge,Core,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest
2,1,19,20.0904436202826,29,21,20.1776884602668,31
3,1,19,20.0904436202826,29,19,20.4954714294494,50
4,2,16,16.8350383539538,27,17,16.9164444104816,28
5,2,16,16.8350383539538,27,17,16.9292356805689,28
6,3,24,25.3161729737555,30,26,25.5298976785737,44
7,4,20,21.6132585800955,54,23,21.3057713440639,32
