Edge,Core,HeightAboveCB,Temperature,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest
1,1,261.954711914062,-3.47541469335556,11.5,12.2891158365981,19,10.5,12.0695173301584,15
2,2,578.936828613281,-5.6763396859169,13.5,13.9466361360965,23,13.5,13.9434964299036,23
3,3,892.309244791667,-9.13767369588216,13.5,14.1617740829346,21,13.5,14.2937405160093,25
4,4,888.71630859375,-8.11805302756173,15,15.4921802141606,25,15,15.6306479930346,23
6,6,1254.23470052083,-11.3010772069295,17,18.3723096432977,25,17,18.4715985894507,29
7,7,1569.02120535714,-13.2277378354754,17,18.5790568421222,29,17,18.4889198398666,27
