Time,Altitude,Latitude,Longitude,VerticalWind,Temperature,StaticPres,DewPoint,MixingRatio,absHumidity,vapPres,LWC_cdp,LWC_king,LWC_2dc,EffRadius_cdp,EffRadius_2dc,TotalConc_2dc_L,TotalConc_cdp_cm3,Icing,SatVapPres,MoistStaticEnergy,SatMixingRatio,MRchange,HeightAbvCloudBase,TempAbvCloudBase,DryAirDensity,LWC_over_Density
25-Jun-2021 21:29:18,4517.24169921875,36.0854034423828,-102.265716552734,-1.95914435386658,2.75991463661194,592.20263671875,-9.21503829956055,3.2176296710968,2.39346289634705,3.04772067070007,1.30751016058639e-06,0.0034215715713799,0,1.79250001907349,0,0,0.0541974641382694,1.30978858470917,7.44637485348308,66914.8122952646,7.92064225886588,-4.15785774113412,1752.24169921875,-12.7400853633881,0.747861425725613,0.00457514113401439
25-Jun-2021 21:29:19,4515.55517578125,36.0847434997559,-102.267059326172,1.14643013477325,2.22407245635986,592.509399414062,-8.56639385223389,3.38406872749329,2.52280306816101,3.20617771148682,0.143961280584335,0.152497053146362,0,5.79539203643799,0,0,348.416687011719,1.32895398139954,7.16819121288328,65588.5023330216,7.61712121399283,-4.46137878600717,1750.55517578125,-13.2759275436401,0.749704815151909,0.203409462050024
25-Jun-2021 21:29:20,4515.37890625,36.084056854248,-102.268402099609,3.68663907051086,2.27890539169312,592.505615234375,-8.49442100524902,3.40301632881165,2.53633046150208,3.22401118278503,0.490889072418213,0.423834621906281,0,6.19170045852661,0,0,948.608032226562,1.52755010128021,7.19622882174821,65718.6792105349,7.64733050765035,-4.43116949234965,1750.37890625,-13.2210946083069,0.749550775236978,0.565451515639192
25-Jun-2021 21:29:21,4517.0107421875,36.083381652832,-102.269744873047,3.62031817436218,3.03168535232544,592.191589355469,-7.76997518539429,3.60390901565552,2.67645883560181,3.41143107414246,0.703928828239441,0.656097292900085,0,6.32363986968994,0,0,1316.228515625,1.55594718456268,7.59108441591616,67582.1931339095,8.07671985707243,-4.00178014292757,1752.0107421875,-12.4683146476746,0.74711157118635,0.878178465176571
25-Jun-2021 21:29:22,4519.98388671875,36.0826683044434,-102.27108001709,5.84562206268311,3.24740719795227,592.333984375,-7.01459884643555,3.82043147087097,2.83474612236023,3.61600756645203,0.821268141269684,0.731789469718933,0,6.56589984893799,0,0,1411.21899414062,1.56475174427032,7.70771598762919,68142.4763975984,8.20045147394702,-3.87804852605298,1754.98388671875,-12.2525928020477,0.746707973704113,0.980020966012756
25-Jun-2021 21:29:23,4524.8291015625,36.0820083618164,-102.272407531738,5.84343910217285,3.28574681282043,591.372497558594,-6.59138917922974,3.95440673828125,2.92835927009583,3.73593878746033,0.859752953052521,0.784407138824463,0,6.51203060150146,0,0,1512.705078125,1.60355532169342,7.72860973245466,68319.5708508806,8.23652119701253,-3.84197880298747,1759.8291015625,-12.2142531871796,0.745392509519978,1.0523410536143
25-Jun-2021 21:29:24,4530.2509765625,36.0812950134277,-102.273727416992,4.66707181930542,3.05639433860779,591.077453613281,-6.04338455200195,4.12693500518799,3.05629134178162,3.89591670036316,0.658359050750732,0.537548005580902,0,6.25078010559082,0,0,1366.30432128906,1.61858546733856,7.60436381200611,67811.7763745675,8.10648232753761,-3.97201767246239,1765.2509765625,-12.4436056613922,0.745639262851231,0.720922344573683
25-Jun-2021 21:29:25,4535.55712890625,36.0805816650391,-102.275047302246,5.8122615814209,3.03627419471741,590.716186523438,-5.42044162750244,4.33183622360229,3.20525908470154,4.08551120758057,0.855916857719421,0.783802807331085,0,6.512038230896,0,0,1499.43566894531,1.62900733947754,7.59354905284433,67826.4332369052,8.09981847276057,-3.97868152723943,1770.55712890625,-12.4637258052826,0.745237813989034,1.05174857289598
25-Jun-2021 21:29:26,4540.201171875,36.0798606872559,-102.276374816895,6.65551853179932,3.17903876304626,590.33740234375,-4.71827030181885,4.57365846633911,3.3789689540863,4.30915307998657,0.918113172054291,0.922215044498444,0,6.42551565170288,0,0,1663.564453125,1.61695277690887,7.67058161394095,68240.1729396704,8.18838758983275,-3.89011241016725,1775.201171875,-12.3209612369537,0.744375168114763,1.23891161876623
25-Jun-2021 21:29:27,4544.0546875,36.0791435241699,-102.277694702148,7.44550848007202,3.28045272827148,590.060852050781,-4.28994083404541,4.72723007202148,3.48865413665771,4.45066547393799,1.06407606601715,1.05396723747253,0,6.7244176864624,0,0,1649.93200683594,1.60382997989655,7.72572166260364,68541.1219247188,8.25194741546203,-3.82655258453797,1779.0546875,-12.2195472717285,0.743753496288035,1.41709214508937
25-Jun-2021 21:29:28,4547.12939453125,36.0784301757812,-102.279022216797,6.40958452224731,3.59215688705444,589.762939453125,-3.61139035224915,4.97863101959229,3.66672372817993,4.68311357498169,1.01200640201569,0.987509071826935,0,6.66036939620972,0,0,1644.62890625,1.60546267032623,7.8974016556292,69367.2308277025,8.4421288265244,-3.6363711734756,1782.12939453125,-11.9078431129456,0.742540694593806,1.32990565906578
25-Jun-2021 21:29:29,4549.25927734375,36.0777168273926,-102.280342102051,6.54091930389404,3.70410013198853,589.654541015625,-2.93354940414429,5.24007415771484,3.85539770126343,4.92607831954956,1.0674901008606,1.03276312351227,0,6.74759531021118,0,0,1635.27087402344,1.61142897605896,7.95987642987986,69676.4238866619,8.51141232816906,-3.56708767183094,1784.25927734375,-11.7958998680115,0.74210403172622,1.39166892963772
