Time,Altitude,Latitude,Longitude,VerticalWind,Temperature,StaticPres,DewPoint,MixingRatio,absHumidity,vapPres,ConcCN,SatVapPres,MoistStaticEnergy,SatMixingRatio
20-Jun-2021 22:35:08,1613.73840332031,39.9395141601562,-95.4166259765625,-0.131709262728691,19.6211910247803,832.577209472656,17.4793109893799,15.295069694519,14.7885608673096,19.9818382263184,2187.7578125,22.7927593477381,74350.7337664015,15.2950703591964
20-Jun-2021 22:35:09,1614.0712890625,39.938850402832,-95.4177017211914,-0.0889465138316154,19.6118392944336,832.562561035156,17.4907913208008,15.3065671920776,14.7996225357056,19.9961452484131,2153.9091796875,22.779528327781,74373.0840693761,15.3065670730073
20-Jun-2021 22:35:10,1614.13684082031,39.9382057189941,-95.4188232421875,-0.538435757160187,19.6066780090332,832.455261230469,17.469446182251,15.2877206802368,14.7801933288574,19.9695415496826,2149.41333007812,22.7722289215445,74321.255944863,15.2877208091517
20-Jun-2021 22:35:11,1613.84362792969,39.9375457763672,-95.4199295043945,-1.12284231185913,19.5696716308594,832.666625976562,17.5105609893799,15.3242177963257,14.8202648162842,20.0211505889893,2077.814453125,22.7199523124047,74371.4069269704,15.3242170706876
20-Jun-2021 22:35:12,1613.26586914062,39.9368858337402,-95.4210052490234,-0.465932369232178,19.5935401916504,832.735107421875,17.4820175170898,15.2947425842285,14.7924528121948,19.9852085113525,2059.95825195312,22.7536578741896,74316.7011717834,15.2947416059043
20-Jun-2021 22:35:13,1612.47497558594,39.9362258911133,-95.4220809936523,-0.796169400215149,19.6100978851318,832.832275390625,17.5167217254639,15.3272848129272,14.8240613937378,20.0290451049805,2061.49462890625,22.7770652905541,74407.454809868,15.3272841336023
20-Jun-2021 22:35:14,1611.65698242188,39.9355659484863,-95.4231491088867,-0.81046861410141,19.6134376525879,832.947387695312,17.4926433563232,15.3011293411255,14.801248550415,19.9984512329102,1988.01708984375,22.7817892401314,74337.4760791532,15.3011291471754
20-Jun-2021 22:35:15,1610.85595703125,39.9348907470703,-95.4242248535156,-0.634895145893097,19.6648235321045,833.3642578125,17.5966529846191,15.3975172042847,14.8970737457275,20.1314563751221,1969.02868652344,22.8545806729322,74623.8115006846,15.3975169756973
20-Jun-2021 22:35:16,1610.09204101562,39.9342308044434,-95.4253005981445,-0.0619144327938557,19.6672172546387,833.835693359375,17.6319885253906,15.4240627288818,14.9304542541504,20.1767311096191,2008.98937988281,22.8579765046418,74685.1899574896,15.4240625771303
20-Jun-2021 22:35:17,1609.63635253906,39.9335708618164,-95.4263687133789,-0.251005828380585,19.5445213317871,833.658020019531,17.6367950439453,15.4322557449341,14.9412708282471,20.1828880310059,2019.98767089844,22.6844841732775,74574.3797724304,15.4322558387227
20-Jun-2021 22:35:18,1609.59094238281,39.9329109191895,-95.4274444580078,0.135987550020218,19.5693187713623,834.090576171875,17.7117557525635,15.4992809295654,15.0110998153687,20.2789306640625,2017.546875,22.7194543569439,74767.19874134,15.4992803834555
20-Jun-2021 22:35:19,1610.36950683594,39.9322357177734,-95.4285125732422,-0.107450000941753,19.4001274108887,833.156372070312,17.7894916534424,15.5952157974243,15.0935497283936,20.3785305023193,1968.20959472656,22.4817916166533,74839.8626067524,15.5952159669971
20-Jun-2021 22:35:20,1611.42236328125,39.9315490722656,-95.4295883178711,-0.67484587430954,19.4568519592285,832.994140625,17.7552146911621,15.563871383667,15.0581016540527,20.3346118927002,1957.58020019531,22.5612282158095,74830.4264189326,15.5638716462106
20-Jun-2021 22:35:21,1612.34777832031,39.9308776855469,-95.4306640625,0.101702533662319,19.4699459075928,832.798767089844,17.7274417877197,15.5396928787231,15.0310792922974,20.2990303039551,1965.23413085938,22.5795998227806,74792.5607289766,15.5396934637867
20-Jun-2021 22:35:22,1612.84851074219,39.9302177429199,-95.4317321777344,0.442476183176041,19.5462398529053,832.90185546875,17.7237968444824,15.5340576171875,15.0237035751343,20.2943592071533,1972.71545410156,22.6869061655936,74862.2419021742,15.5340573215506
