Edge,Core,Core_90th,Core_LargeAvgDiam,Core_Largest,Edge_90th,Edge_LargeAvgDiam,Edge_Largest
1,1,38,42.9776785714286,53,36,47.1013824884793,52
2,1,38,42.9776785714286,53,40,46.8125,38
3,2,45,51.4406779661017,66,46,52.5897435897436,57
