Edge,Core,HeightAboveCB,Temperature,Core_Dref,Edge_PDref
1,1,3936.32269287109,-4.98148715496063,28.878833508386,0.9
2,1,3936.32269287109,-4.98148715496063,28.878833508386,0.93
3,2,3920.985546875,-5.34405250549316,38.4184383124876,0.92
