Edge,Core,HeightAboveCB,Temperature,Core_Dref,Edge_D,Edge_PDref,EdgeP_CoreP_ratio
1,1,492.588989257812,14.6949329376221,18.659366607666,19.3246583557129,0.87,1.3
2,1,492.588989257812,14.6949329376221,18.659366607666,19.0681900024413,0.88,1.2
3,2,682.992730034722,14.2262837092082,18.0096924463908,20.4620792388916,0.66,3.4
4,4,1505.41780598958,9.17342058817546,23.7268531799316,25.3397121429445,0.8,2
