Edge,Core,HeightAboveCB,Temperature,Core_Dref,Edge_D,Edge_PDref,EdgeP_CoreP_ratio
1,1,542.583923339844,6.82627141475677,14.6901065826416,14.5750781059265,0.91,0.9
2,1,542.583923339844,6.82627141475677,14.6901065826416,15.7140686560256,0.76,2.4
3,2,1371.91667829241,1.71828089441572,21.1749908447264,21.7806655883789,0.83,1.7
4,3,1526.40146484375,0.55640355348587,20.5366769790649,21.8219303131103,0.74,2.6
5,4,2135.7529296875,-2.92799019813538,25.0703149795534,24.757345199585,0.91,0.9
6,5,2475.73063151042,-5.88446235656738,24.6998611450195,23.1128734588622,0.96,0.4
7,6,992.715270996094,4.09743589162827,17.6379928588867,18.3773334503175,0.84,1.6
8,6,992.715270996094,4.09743589162827,17.6379928588867,18.022338104248,0.87,1.3
