Time,Temperature,VerticalWind,Icing,Altitude,Latitude,Longitude
04-Jun-2022 22:11:05,-0.447816900435328,NaN,39998,4451.96662439844,29.1114678577564,29.1114678577564
04-Jun-2022 22:11:06,-0.549319483387251,NaN,39997,4451.71074310744,29.111453528823,29.111453528823
04-Jun-2022 22:11:07,-0.389161733835692,NaN,39997,4451.60913022459,29.1114094299483,29.1114094299483
04-Jun-2022 22:11:08,-0.758587576825562,NaN,39994,4452.03663544346,29.1113321916348,29.1113321916348
04-Jun-2022 22:11:09,-0.808554024123794,NaN,39989,4453.76831265313,29.1112142630086,29.1112142630086
04-Jun-2022 22:11:10,-0.942950970065908,NaN,39986,4455.7525850238,29.1110500449661,29.1110500449661
04-Jun-2022 22:11:11,-0.739971676035395,NaN,39985,4457.52729836373,29.110830570935,29.110830570935
04-Jun-2022 22:11:12,-0.685065766000832,NaN,39985,4457.28960166071,29.110571548035,29.110571548035
04-Jun-2022 22:11:13,-1.54370346223249,NaN,39992,4456.77867160397,29.1102817560566,29.1102817560566
04-Jun-2022 22:11:14,-1.78502513919705,NaN,39994,4456.13661192421,29.1099634972521,29.1099634972521
